                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.444,                 4.7105,                 1.3317,                0.43553,                0.65278,                0.51505,                0.28473,                 1.3419,                 3.7986,                 1.3974,             0.00066071,             0.00066071,             0.00066071
                      2,                 1.3408,                 3.2741,                 1.2944,                0.32511,                0.38889,                0.34297,                0.17542,                 1.2577,                  8.006,                 1.4858,              0.0013011,              0.0013011,              0.0013011
                      3,                 1.4765,                 2.5509,                 1.3459,                0.56498,                0.66741,                0.62835,                0.40025,                 1.3102,                 2.0169,                 1.2894,              0.0019151,              0.0019151,              0.0019151
                      4,                 1.5465,                 2.1974,                 1.3627,                0.68033,                0.59122,                0.63571,                 0.3934,                 1.2728,                 2.3411,                 1.3464,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.4157,                 1.6777,                 1.3467,                0.66022,                0.59722,                0.59389,                0.40403,                 1.2426,                 1.5769,                 1.2747,              0.0018416,              0.0018416,              0.0018416
                      6,                  1.427,                 1.5712,                  1.341,                0.84071,                0.83333,                0.89671,                0.62955,                 1.0756,                 1.1145,                 1.1539,               0.001802,               0.001802,               0.001802
                      7,                 1.3255,                 1.3247,                 1.2792,                 0.8561,                0.82636,                0.87732,                0.61384,                 1.0697,                0.95846,                 1.1883,              0.0017624,              0.0017624,              0.0017624
                      8,                  1.294,                 1.2156,                 1.2423,                 0.9082,                0.82451,                 0.9241,                0.66339,                 1.0587,                0.90656,                  1.172,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.2498,                 1.2023,                 1.2219,                0.84776,                 0.8508,                0.89641,                0.63968,                 1.0169,                 0.9702,                 1.1574,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.2593,                  1.137,                 1.2309,                0.89195,                0.91727,                0.92834,                0.63961,                 1.0857,                0.98317,                 1.1657,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.2169,                 1.0723,                 1.2324,                0.92646,                0.86111,                0.93282,                0.69027,                0.98298,                0.78033,                  1.121,               0.001604,               0.001604,               0.001604
                     12,                 1.1957,                 1.0378,                 1.1972,                0.77967,                0.88469,                0.89029,                0.65413,                0.95772,                0.87283,                  1.099,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.1987,                0.99286,                 1.1937,                0.84656,                0.81944,                0.85978,                0.61819,                 1.0292,                 1.0252,                  1.134,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.1682,                0.96025,                 1.1944,                0.89546,                0.83283,                0.92603,                 0.6886,                0.91432,                0.75313,                 1.0825,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.1574,                0.93899,                 1.1746,                0.93923,                0.85865,                 0.9368,                0.71389,                0.88503,                0.74253,                 1.0578,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.1262,                0.91525,                 1.1694,                0.88974,                0.86111,                0.90961,                 0.6764,                0.97478,                0.83099,                 1.1077,               0.001406,               0.001406,               0.001406
                     17,                 1.1235,                0.89773,                 1.1492,                0.96063,                0.93056,                0.96876,                0.74672,                0.88679,                0.71345,                 1.0645,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.1304,                0.86882,                 1.1658,                0.95434,                0.87092,                0.94518,                0.72054,                 0.9229,                0.73304,                 1.0692,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.1131,                0.88049,                 1.1538,                0.90465,                0.93056,                 0.9731,                0.75717,                 0.8493,                0.69737,                 1.0155,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.0589,                0.86329,                 1.0994,                0.92266,                0.88889,                0.94993,                0.73516,                0.84931,                0.67066,                 1.0256,              0.0012476,              0.0012476,              0.0012476
                     21,                   1.06,                0.78314,                 1.1041,                0.92791,                0.90278,                0.96146,                0.74406,                0.86642,                0.63081,                 1.0293,               0.001208,               0.001208,               0.001208
                     22,                 1.0463,                0.80601,                  1.096,                0.92809,                0.93056,                0.96463,                 0.7536,                 0.8512,                0.62788,                 1.0283,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.0218,                 0.7726,                 1.0955,                0.95701,                0.92763,                0.96821,                0.74895,                0.83897,                0.64219,                 1.0014,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.0354,                0.77638,                 1.0939,                0.95427,                0.86945,                0.96041,                0.75599,                0.80351,                0.66867,                0.98777,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.0155,                0.71372,                 1.1012,                0.95373,                0.88889,                0.94512,                0.73629,                0.85256,                0.67651,                 1.0342,              0.0010496,              0.0010496,              0.0010496
                     26,                0.99875,                0.71063,                 1.0962,                0.94307,                0.92035,                0.97239,                0.77241,                0.81029,                0.60188,                 1.0103,                0.00101,                0.00101,                0.00101
                     27,                 1.0337,                0.74637,                 1.0811,                0.95693,                0.92582,                0.96772,                0.77224,                 0.8263,                0.60164,                 1.0056,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.0361,                0.73361,                 1.0944,                 0.9574,                0.93642,                0.96133,                0.75157,                0.89723,                 0.6135,                 1.0688,              0.0009308,              0.0009308,              0.0009308
                     29,                0.96042,                0.70078,                 1.0731,                0.97042,                0.91119,                0.96923,                0.77811,                0.79334,                0.54877,                 1.0133,              0.0008912,              0.0008912,              0.0008912
                     30,                0.98984,                0.70582,                 1.0909,                0.94365,                 0.9303,                0.97082,                 0.7871,                0.73776,                0.52608,                0.97448,              0.0008516,              0.0008516,              0.0008516
                     31,                0.96639,                0.68501,                 1.0655,                0.92997,                0.92229,                0.96809,                0.77784,                0.78042,                0.58469,                0.98471,               0.000812,               0.000812,               0.000812
                     32,                0.94492,                0.67525,                 1.0518,                 0.9289,                0.93056,                0.97301,                0.79907,                0.72466,                0.52419,                0.96024,              0.0007724,              0.0007724,              0.0007724
                     33,                0.93374,                0.66379,                 1.0355,                0.97085,                0.92534,                0.97758,                0.79572,                0.73018,                0.58153,                0.96791,              0.0007328,              0.0007328,              0.0007328
                     34,                0.91474,                0.62954,                 1.0566,                0.94368,                 0.9308,                0.97519,                 0.7816,                 0.7424,                0.52915,                0.97372,              0.0006932,              0.0006932,              0.0006932
                     35,                0.93399,                0.64741,                 1.0516,                0.94529,                0.95989,                0.97519,                0.79743,                 0.7818,                0.56053,                0.98241,              0.0006536,              0.0006536,              0.0006536
                     36,                0.89336,                0.62188,                 1.0156,                0.97102,                0.93071,                0.97681,                0.79062,                 0.7445,                0.49619,                0.95046,               0.000614,               0.000614,               0.000614
                     37,                0.87951,                0.60704,                 1.0306,                  0.984,                0.94444,                0.98088,                0.80462,                0.73613,                0.51246,                0.96783,              0.0005744,              0.0005744,              0.0005744
                     38,                0.86462,                0.58968,                 1.0152,                0.94236,                0.97222,                0.98377,                0.81322,                0.72306,                0.46496,                0.96766,              0.0005348,              0.0005348,              0.0005348
                     39,                0.85719,                0.58701,                 1.0062,                0.95377,                0.95833,                0.97329,                0.80625,                0.71399,                 0.4898,                0.95842,              0.0004952,              0.0004952,              0.0004952
                     40,                0.83457,                0.57485,                 1.0105,                0.97066,                0.95833,                0.97869,                0.81694,                0.70069,                 0.4861,                0.93701,              0.0004556,              0.0004556,              0.0004556
                     41,                0.78855,                0.50438,                0.97353,                 0.9696,                0.94444,                0.97959,                0.81811,                0.67559,                0.47453,                 0.9355,               0.000416,               0.000416,               0.000416
                     42,                0.82103,                0.50245,                  0.991,                0.99095,                0.95833,                0.97733,                0.81382,                0.70416,                0.47947,                0.94813,              0.0003764,              0.0003764,              0.0003764
                     43,                0.78218,                0.47525,                0.97067,                0.98011,                0.95833,                0.98355,                0.81661,                0.69653,                 0.4466,                0.92692,              0.0003368,              0.0003368,              0.0003368
                     44,                0.77664,                0.47509,                 0.9703,                 0.9695,                0.95833,                0.98355,                0.80773,                0.71075,                0.44068,                0.94647,              0.0002972,              0.0002972,              0.0002972
                     45,                0.76336,                0.46198,                0.95897,                 0.9675,                0.94444,                0.98118,                0.81068,                0.67096,                0.43648,                0.92146,              0.0002576,              0.0002576,              0.0002576
                     46,                0.76402,                0.46294,                0.95924,                0.98564,                0.95322,                0.98333,                0.83298,                0.66573,                0.43003,                0.91474,               0.000218,               0.000218,               0.000218
                     47,                0.73282,                 0.4431,                0.93704,                0.98566,                0.95479,                0.98174,                0.83849,                0.66859,                0.43891,                0.92572,              0.0001784,              0.0001784,              0.0001784
                     48,                 0.7203,                0.44046,                0.93456,                0.98568,                0.95583,                0.98362,                0.83439,                0.66297,                0.43143,                0.92073,              0.0001388,              0.0001388,              0.0001388
                     49,                0.69864,                0.42765,                 0.9312,                0.96509,                0.97222,                0.98493,                0.84533,                0.65016,                0.42644,                0.91317,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.69952,                0.43144,                0.93376,                0.96756,                0.97222,                0.98487,                0.85377,                0.64835,                0.41286,                0.91768,               5.96e-05,               5.96e-05,               5.96e-05
